task,seed,pass,correct,total,wall_seconds,agent_seconds,turns,cost_usd,run_reason,exit_code,run
task_01,1,False,75,95,231.795,230.138,24,1.3408,done,1,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-449Z_5961b5a8_task_01_s1
task_01,2,True,95,95,211.781,210.181,23,1.6217,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-444Z_f22fdc42_task_01_s2
task_01,3,True,95,95,191.137,189.67,19,0.7492,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-487Z_424085e5_task_01_s3
task_01,4,True,95,95,231.104,229.456,29,1.5119,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-510Z_884e83f8_task_01_s4
task_01,5,False,75,95,248.705,247.184,22,1.4561,done,1,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-510Z_16dbc34c_task_01_s5
task_02,1,True,85,85,137.917,136.58,16,0.6384,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-933Z_78569dd7_task_02_s1
task_02,2,True,85,85,94.935,93.737,15,0.6281,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-934Z_845bf6b9_task_02_s2
task_02,3,True,85,85,109.576,108.348,19,0.7428,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-935Z_4f0d6749_task_02_s3
task_02,4,True,85,85,84.555,83.534,12,0.3972,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-978Z_f119d8d1_task_02_s4
task_02,5,True,85,85,87.904,86.46,13,0.4171,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-50-001Z_5ae3668e_task_02_s5
task_03,1,True,1080,1080,577.482,532.655,11,0.2041,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-834Z_dd577c43_task_03_s1
task_03,2,True,1080,1080,588.529,543.813,10,0.2377,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-822Z_1e615560_task_03_s2
task_03,3,True,1080,1080,591.728,547.174,11,0.2157,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-790Z_6c3c7957_task_03_s3
task_03,4,True,1080,1080,584.57,539.728,10,0.1913,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-773Z_3f48784f_task_03_s4
task_03,5,True,1080,1080,587.213,542.34,9,0.1873,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-831Z_3ef8f44c_task_03_s5
task_04,1,True,19024,19024,443.053,426.114,23,0.916,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-771Z_82c90867_task_04_s1
task_04,2,True,19024,19024,442.34,425.844,20,0.8004,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-814Z_49bde07c_task_04_s2
task_04,3,True,19024,19024,320.359,303.09,16,0.444,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-835Z_627554ea_task_04_s3
task_04,4,True,19024,19024,420.672,402.472,17,0.5746,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-807Z_10b68c2c_task_04_s4
task_04,5,True,19024,19024,325.01,307.588,13,0.4029,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-822Z_9baf620c_task_04_s5
task_05,1,True,97,97,170.544,167.461,16,0.8354,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-582Z_3bac2594_task_05_s1
task_05,2,False,90,97,193.382,190.402,19,0.9744,done,1,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-641Z_80a1dcbc_task_05_s2
task_05,3,True,97,97,160.879,157.617,15,0.7201,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-610Z_38d2d139_task_05_s3
task_05,4,True,97,97,166.155,163.023,15,0.842,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-606Z_1e477c48_task_05_s4
task_05,5,True,97,97,175.44,172.556,20,0.907,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-610Z_5a74970f_task_05_s5
task_06,1,True,392,392,343.075,323.497,17,0.6307,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-48-894Z_6ac4b725_task_06_s1
task_06,2,True,392,392,357.149,338.474,17,0.6337,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-115Z_cc6d2d0f_task_06_s2
task_06,3,True,392,392,352.413,334.4,19,0.8225,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-106Z_8774d10e_task_06_s3
task_06,4,True,392,392,342.059,322.613,15,0.7727,done,0,/Users/minh/code/polar/final-sweeps/20260924T200457Z-1515d70/gas-offline/runs/2026-09-24T20-06-49-095Z_1f229296_task_06_s4
