task,seed,pass,correct,total,wall_seconds,agent_seconds,turns,cost_usd,run_reason,exit_code,run
task_01,1,True,95,95,249.248,247.142,27,1.4969,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-515Z_b10ae7a6_task_01_s1
task_01,2,True,95,95,207.887,206.17,18,0.9696,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-518Z_64adcde8_task_01_s2
task_01,3,True,95,95,222.462,220.37,22,1.1427,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-542Z_ae163597_task_01_s3
task_01,4,False,75,95,218.155,216.016,23,1.4646,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-742Z_c5c25ff7_task_01_s4
task_01,5,False,75,95,214.335,212.476,22,1.3022,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-499Z_147ed55a_task_01_s5
task_02,1,True,85,85,97.443,95.825,14,0.5786,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-211Z_e392c528_task_02_s1
task_02,2,False,57,85,103.564,101.97,15,0.5939,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-081Z_c9f13935_task_02_s2
task_02,3,True,85,85,91.926,90.077,11,0.558,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-062Z_dce59021_task_02_s3
task_02,4,True,85,85,133.495,131.628,14,0.5449,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-004Z_470e3ed7_task_02_s4
task_02,5,True,85,85,96.68,94.894,14,0.52,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-202Z_8c37151f_task_02_s5
task_03,1,True,1080,1080,604.397,560.801,16,0.3939,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-750Z_89fa9b53_task_03_s1
task_03,2,True,1080,1080,584.82,540.363,12,0.3065,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-752Z_9f2ab874_task_03_s2
task_03,3,True,1080,1080,572.204,526.583,11,0.2733,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-860Z_ac130542_task_03_s3
task_03,4,True,1080,1080,571.162,525.384,10,0.2527,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-942Z_8cb5f984_task_03_s4
task_03,5,True,1080,1080,566.176,519.979,7,0.1893,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-906Z_87c6cf09_task_03_s5
task_04,1,True,19024,19024,403.324,386.182,22,0.9482,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-558Z_f9e9e329_task_04_s1
task_04,2,True,19024,19024,398.881,381.35,19,0.9826,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-734Z_eb7681ab_task_04_s2
task_04,3,True,19024,19024,364.358,347.322,18,0.7638,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-831Z_07d4bcf0_task_04_s3
task_04,4,True,19024,19024,340.651,323.213,15,0.5201,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-850Z_2d959334_task_04_s4
task_04,5,True,19024,19024,371.862,355.637,18,0.8938,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-712Z_7bc4a0be_task_04_s5
task_05,1,True,97,97,172.118,168.367,18,1.1094,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-868Z_0728771a_task_05_s1
